framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6497242477, 3, -25, -995, -5, 5, 8, 216, 202, 201
6497242477, 3, -25, -995, -5, 5, 8, 216, 202, 201
6497342468, 1, -31, -1002, -3, 0, 6, 216, 203, 201
6497342468, 1, -31, -1002, -3, 0, 6, 216, 203, 201
6497442447, -8, -22, -999, -2, -3, 5, 215, 204, 201
6497442447, -8, -22, -999, -2, -3, 5, 215, 204, 201
6497542479, -2, -27, -1001, -4, 5, 2, 215, 204, 199
6497542479, -2, -27, -1001, -4, 5, 2, 215, 204, 199
6497642490, 1, -31, -1006, -4, 4, 5, 215, 201, 197
6497642490, 1, -31, -1006, -4, 4, 5, 215, 201, 197
6497742685, -2, -39, -996, -2, 3, 6, 215, 200, 196
6497742685, -2, -39, -996, -2, 3, 6, 215, 200, 196
6497842524, 3, -25, -1001, 0, 0, 5, 215, 190, 185
6497842524, 3, -25, -1001, 0, 0, 5, 215, 190, 185
6497942576, 2, -19, -999, -5, 5, 0, 213, 196, 193
6497942576, 2, -19, -999, -5, 5, 0, 213, 196, 193
6498042396, -8, -36, -1004, -3, 1, 5, 212, 204, 201
6498042396, -8, -36, -1004, -3, 1, 5, 212, 204, 201
6498142384, 1, -22, -997, -4, 1, 9, 212, 205, 201
6498142384, 1, -22, -997, -4, 1, 9, 212, 205, 201
6498242469, 9, -13, -986, -1, -4, 4, 212, 206, 201
6498242469, 9, -13, -986, -1, -4, 4, 212, 206, 201
6498342475, 0, -36, -1007, -2, 3, 4, 212, 205, 199
6498342475, 0, -36, -1007, -2, 3, 4, 212, 205, 199
6498442494, -10, -39, -1007, -2, 3, 4, 211, 205, 199
6498442494, -10, -39, -1007, -2, 3, 4, 211, 205, 199
6498542624, 1, -25, -996, -4, 0, 3, 211, 206, 199
6498542624, 1, -25, -996, -4, 0, 3, 211, 206, 199
6498642480, 3, -25, -1003, -3, 5, 3, 211, 205, 197
6498642480, 3, -25, -1003, -3, 5, 3, 211, 205, 197
6498742409, -3, -28, -1001, -2, 1, 4, 211, 205, 196
6498742409, -3, -28, -1001, -2, 1, 4, 211, 205, 196
6498842618, 2, -25, -994, -5, 1, 1, 211, 203, 194
6498842618, 2, -25, -994, -5, 1, 1, 211, 203, 194
6498942557, -2, -34, -1009, -4, 5, 0, 210, 205, 195
6498942557, -2, -34, -1009, -4, 5, 0, 210, 205, 195
6499042548, -1, -30, -1003, -3, 2, 1, 210, 200, 188
6499042548, -1, -30, -1003, -3, 2, 1, 210, 200, 188
6499142609, 5, -21, -1002, -3, 1, 2, 210, 208, 197
6499142609, 5, -21, -1002, -3, 1, 2, 210, 208, 197
6499242502, 0, -25, -998, -5, 3, 2, 210, 208, 196
6499242502, 0, -25, -998, -5, 3, 2, 210, 208, 196
6499342496, 1, -31, -1006, -3, 0, 1, 209, 208, 196
6499342496, 1, -31, -1006, -3, 0, 1, 209, 208, 196
6499442537, 1, -26, -999, -3, 2, 1, 209, 210, 196
6499442537, 1, -26, -999, -3, 2, 1, 209, 210, 196
6499542522, 2, -22, -999, -4, 1, 1, 209, 209, 195
6499542522, 2, -22, -999, -4, 1, 1, 209, 209, 195
6499642438, 1, -20, -1002, -2, 0, 2, 209, 206, 191
6499642438, 1, -20, -1002, -2, 0, 2, 209, 206, 191
6499742709, -2, -19, -995, -4, 2, 1, 209, 207, 192
6499742709, -2, -19, -995, -4, 2, 1, 209, 207, 192
6499842575, 0, -28, -1000, -6, 2, 3, 210, 196, 179
6499842575, 0, -28, -1000, -6, 2, 3, 210, 196, 179
6499942523, 4, -24, -1004, -2, 3, 3, 210, 198, 181
6499942523, 4, -24, -1004, -2, 3, 3, 210, 198, 181
6500042618, 3, -21, -998, -3, 3, 5, 209, 210, 192
6500042618, 3, -21, -998, -3, 3, 5, 209, 210, 192
6500142361, 1, -37, -1002, -3, 2, 1, 209, 212, 194
6500142361, 1, -37, -1002, -3, 2, 1, 209, 212, 194
6500242388, -2, -37, -1000, -3, 0, -1, 208, 213, 194
6500242388, -2, -37, -1000, -3, 0, -1, 208, 213, 194
6500342437, -2, -30, -999, -3, 2, -1, 208, 213, 193
6500342437, -2, -30, -999, -3, 2, -1, 208, 213, 193
6500442451, 2, -24, -998, -4, 5, 0, 208, 214, 193
6500442451, 2, -24, -998, -4, 5, 0, 208, 214, 193
6500542647, 3, -25, -1000, -5, 2, 3, 208, 214, 193
6500542647, 3, -25, -1000, -5, 2, 3, 208, 214, 193
6500642610, 2, -34, -997, -3, 0, 0, 207, 212, 191
