framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6676142517, -10, -16, -996, -6, 4, -12, 269, 258, 16
6676142517, -10, -16, -996, -6, 4, -12, 269, 258, 16
6676242452, -9, -18, -1001, -2, 2, -14, 268, 257, 14
6676242452, -9, -18, -1001, -2, 2, -14, 268, 257, 14
6676342426, -7, -22, -990, -5, 1, -11, 268, 255, 12
6676342426, -7, -22, -990, -5, 1, -11, 268, 255, 12
6676442509, -9, -27, -1002, -7, 1, -5, 268, 255, 12
6676442509, -9, -27, -1002, -7, 1, -5, 268, 255, 12
6676542439, -8, -24, -1000, -2, 2, 0, 268, 252, 7
6676542439, -8, -24, -1000, -2, 2, 0, 268, 252, 7
6676642427, -10, -22, -999, -2, 1, 6, 268, 260, 16
6676642427, -10, -22, -999, -2, 1, 6, 268, 260, 16
6676742498, -10, -23, -1000, -4, 3, 10, 268, 260, 17
6676742498, -10, -23, -1000, -4, 3, 10, 268, 260, 17
6676842381, -16, -29, -999, -5, -1, 8, 268, 260, 17
6676842381, -16, -29, -999, -5, -1, 8, 268, 260, 17
6676942712, -17, -24, -994, -5, 4, -9, 269, 260, 18
6676942712, -17, -24, -994, -5, 4, -9, 269, 260, 18
6677042673, -6, -14, -994, -5, 4, -23, 268, 261, 19
6677042673, -6, -14, -994, -5, 4, -23, 268, 261, 19
6677142374, -2, -23, -995, -6, 3, -17, 269, 252, 8
6677142374, -2, -23, -995, -6, 3, -17, 269, 252, 8
6677242457, -7, -19, -1000, -4, 0, 1, 269, 259, 15
6677242457, -7, -19, -1000, -4, 0, 1, 269, 259, 15
6677342525, -5, -18, -1000, -3, 4, 12, 268, 257, 13
6677342525, -5, -18, -1000, -3, 4, 12, 268, 257, 13
6677442439, -14, -27, -1001, -4, 5, 7, 269, 250, 7
6677442439, -14, -27, -1001, -4, 5, 7, 269, 250, 7
6677542390, -10, -33, -1001, -5, 4, -7, 269, 256, 13
6677542390, -10, -33, -1001, -5, 4, -7, 269, 256, 13
6677642420, -4, -28, -996, -5, -2, -16, 269, 259, 17
6677642420, -4, -28, -996, -5, -2, -16, 269, 259, 17
6677742388, -4, -14, -996, -3, -1, -9, 268, 259, 16
6677742388, -4, -14, -996, -3, -1, -9, 268, 259, 16
6677842400, -5, -20, -997, -5, 1, 0, 268, 260, 17
6677842400, -5, -20, -997, -5, 1, 0, 268, 260, 17
6677942529, -9, -19, -1000, -1, 2, 12, 268, 258, 15
6677942529, -9, -19, -1000, -1, 2, 12, 268, 258, 15
6678042451, -9, -24, -999, -4, 0, 13, 268, 258, 16
6678042451, -9, -24, -999, -4, 0, 13, 268, 258, 16
6678142477, -14, -28, -996, -4, 5, 0, 268, 259, 16
6678142477, -14, -28, -996, -4, 5, 0, 268, 259, 16
6678242481, -11, -14, -998, -4, 0, -9, 269, 259, 16
6678242481, -11, -14, -998, -4, 0, -9, 269, 259, 16
6678342432, -5, -20, -1001, -3, 3, -7, 269, 254, 11
6678342432, -5, -20, -1001, -3, 3, -7, 269, 254, 11
6678442488, -8, -29, -1001, -4, 0, 3, 269, 258, 15
6678442488, -8, -29, -1001, -4, 0, 3, 269, 258, 15
6678542502, -12, -34, -1005, -5, 0, 3, 269, 240, -3
6678542502, -12, -34, -1005, -5, 0, 3, 269, 240, -3
